column,role,source_table,feature_family,source_id,phase,recording,segment,feature,operation_id,operation_type,formula,base_formula,formula_key,id,label,direction,horizon,data_type,scale_type,is_target
date,meta,computed,date,,,,,,,,,,,,,,,,,False
n_ecg_records_expected,qc,raw_ecg_features,qc_summary,,,,,,,,,,,,,,,,,False
n_ecg_records_found,qc,raw_ecg_features,qc_summary,,,,,,,,,,,,,,,,,False
n_ecg_records_valid_hrv,qc,raw_ecg_features,qc_summary,,,,,,,,,,,,,,,,,False
n_ecg_records_valid_morphology,qc,raw_ecg_features,qc_summary,,,,,,,,,,,,,,,,,False
complete_core_day,qc,raw_ecg_features,qc_summary,,,,,,,,,,,,,,,,,False
raw_ecg__before__sit__full__hrv_time__MeanHR_bpm,input,raw_ecg_features,hrv_time,sit_before,before,sit,full,hrv_time__MeanHR_bpm,,,,,,,,,,,,False
raw_ecg__before__sit__full__hrv_time__MeanNN_ms,input,raw_ecg_features,hrv_time,sit_before,before,sit,full,hrv_time__MeanNN_ms,,,,,,,,,,,,False
raw_ecg__before__sit__full__hrv_time__SDNN_ms,input,raw_ecg_features,hrv_time,sit_before,before,sit,full,hrv_time__SDNN_ms,,,,,,,,,,,,False
raw_ecg__before__sit__full__hrv_time__RMSSD_ms,input,raw_ecg_features,hrv_time,sit_before,before,sit,full,hrv_time__RMSSD_ms,,,,,,,,,,,,False
raw_ecg__before__sit__full__hrv_time__pNN50_percent,input,raw_ecg_features,hrv_time,sit_before,before,sit,full,hrv_time__pNN50_percent,,,,,,,,,,,,False
raw_ecg__before__sit__full__hrv_freq__LF_power,input,raw_ecg_features,hrv_freq,sit_before,before,sit,full,hrv_freq__LF_power,,,,,,,,,,,,False
raw_ecg__before__sit__full__hrv_freq__HF_power,input,raw_ecg_features,hrv_freq,sit_before,before,sit,full,hrv_freq__HF_power,,,,,,,,,,,,False
raw_ecg__before__sit__full__hrv_freq__LF_HF_ratio,input,raw_ecg_features,hrv_freq,sit_before,before,sit,full,hrv_freq__LF_HF_ratio,,,,,,,,,,,,False
raw_ecg__before__sit__full__morph_qrs__QRS_duration_ms,input,raw_ecg_features,morph_qrs,sit_before,before,sit,full,morph_qrs__QRS_duration_ms,,,,,,,,,,,,False
raw_ecg__before__sit__full__morph_qrs__QRS_area,input,raw_ecg_features,morph_qrs,sit_before,before,sit,full,morph_qrs__QRS_area,,,,,,,,,,,,False
raw_ecg__before__sit__full__morph_qrs__QRS_main_amp,input,raw_ecg_features,morph_qrs,sit_before,before,sit,full,morph_qrs__QRS_main_amp,,,,,,,,,,,,False
raw_ecg__before__sit__full__morph_qrs__R_width_half_ms,input,raw_ecg_features,morph_qrs,sit_before,before,sit,full,morph_qrs__R_width_half_ms,,,,,,,,,,,,False
raw_ecg__before__sit__full__morph_t__T_amp,input,raw_ecg_features,morph_t,sit_before,before,sit,full,morph_t__T_amp,,,,,,,,,,,,False
