column,present,n_total,n_valid,valid_ratio,n_missing,missing_ratio,n_unique,mean,median,std,iqr,min,max,reason
Sleep_hours,True,22,20,0.9090909090909091,2,0.09090909090909091,11,8.145,8.375,0.9878072473386378,1.0625,6.0,10.25,ok
Day_Sleep_hours,True,22,1,0.045454545454545456,21,0.9545454545454546,1,0.25,0.25,,0.0,0.25,0.25,ok
Sleep_qality,True,22,20,0.9090909090909091,2,0.09090909090909091,6,5.05,5.0,1.5035046776746235,2.25,3.0,8.0,ok
Difficulty_falling_asleep,True,22,15,0.6818181818181818,7,0.3181818181818182,3,0.8,1.0,0.8618916073713346,1.5,0.0,2.0,ok
Fragmented_sleep,True,22,1,0.045454545454545456,21,0.9545454545454546,1,1.0,1.0,,0.0,1.0,1.0,ok
Undersleeped,True,22,21,0.9545454545454546,1,0.045454545454545456,2,0.09523809523809523,0.0,0.30079260375911915,0.0,0.0,1.0,ok
Oversleeped,True,22,21,0.9545454545454546,1,0.045454545454545456,2,0.23809523809523808,0.0,0.4364357804719847,0.0,0.0,1.0,ok
Wakeup_class,True,22,21,0.9545454545454546,1,0.045454545454545456,3,0.38095238095238093,0.0,0.7400128699009549,0.0,0.0,2.0,ok
Morning_RHR,True,22,22,1.0,0,0.0,7,49.68181818181818,49.5,1.985335851073677,3.5,46.0,52.0,ok
Stress,True,22,22,1.0,0,0.0,4,2.727272727272727,2.5,0.9351250581921513,1.0,2.0,5.0,ok
Cognitive_load,True,22,22,1.0,0,0.0,7,4.2727272727272725,4.5,1.956231025937332,3.75,2.0,8.0,ok
DOMS,True,22,22,1.0,0,0.0,3,1.4090909090909092,1.0,0.7341396590302414,1.0,1.0,4.0,ok
Fatigue_before,True,22,22,1.0,0,0.0,7,5.045454545454546,5.0,1.5879688352247414,1.75,2.0,8.0,ok
Muscle_fatigue_before,True,22,22,1.0,0,0.0,8,4.681818181818182,5.0,1.9120261912024523,3.0,2.0,9.0,ok
Cognitive_fatigue_before,True,22,22,1.0,0,0.0,6,6.818181818181818,7.0,1.5317703308003932,2.75,4.0,9.0,ok
Wellbeing_before,True,22,22,1.0,0,0.0,7,4.340909090909091,4.0,1.266663818634301,1.0,2.0,7.0,ok
Motivation_before,True,22,22,1.0,0,0.0,5,4.181818181818182,4.0,1.1396057645963793,1.75,2.0,6.0,ok
Desire_to_train,True,22,22,1.0,0,0.0,6,3.1818181818181817,3.0,1.4019158196439492,2.0,1.0,6.0,ok
subjective_strain_before,True,22,22,1.0,0,0.0,19,3.9518480257116617,4.0,0.7684724482485283,0.9914772727272725,2.4545454545454546,5.454545454545454,ok
readiness_before,True,22,22,1.0,0,0.0,15,5.420454545454546,5.416666666666666,0.8231429607391014,1.041666666666666,4.0,7.0,ok
Pressure_sys_before,True,22,21,0.9545454545454546,1,0.045454545454545456,13,115.57142857142857,115.0,4.675162334843877,5.0,107.0,128.0,ok
Pressure_dia_before,True,22,21,0.9545454545454546,1,0.045454545454545456,14,69.66666666666667,69.0,5.738757124441958,7.0,62.0,87.0,ok
PulsePressure_before,True,22,21,0.9545454545454546,1,0.045454545454545456,14,45.904761904761905,47.0,5.847262281655937,8.0,33.0,55.0,ok
MAP_before,True,22,21,0.9545454545454546,1,0.045454545454545456,20,84.96823866666666,84.333319,4.652246095639754,5.33333300000001,78.999983,100.666653,ok
RHR_before,True,22,22,1.0,0,0.0,12,62.27272727272727,62.5,4.096244716715638,4.5,57.0,74.0,ok
Reaction_time_before_ms,True,22,22,1.0,0,0.0,14,155.8181818181818,156.0,6.083829962530759,6.5,144.0,167.0,ok
train_minutes,True,22,22,1.0,0,0.0,15,15.829545454545455,12.675,14.936968034687096,29.85,0.0,39.7,ok
RPE,True,22,11,0.5,11,0.5,5,3.5454545454545454,3.0,1.8635254955935732,2.5,2.0,8.0,ok
HR_avg,True,22,14,0.6363636363636364,8,0.36363636363636365,10,159.21428571428572,158.0,5.911898971612205,8.5,150.0,170.0,ok
sRPE_load,True,22,11,0.5,11,0.5,11,96.47272727272728,75.6,60.92223060442043,85.3,17.6,197.0,ok
zone_weighted_load,True,22,21,0.9545454545454546,1,0.045454545454545456,14,45.36190476190476,42.7,43.28897060673164,82.5,0.0,124.25,ok
zone_avg_intensity,True,22,13,0.5909090909090909,9,0.4090909090909091,13,2.836904163197272,2.847058823529412,0.24091805927390397,0.38135779011984816,2.419540229885057,3.15,ok
moderate_plus_minutes,True,22,21,0.9545454545454546,1,0.045454545454545456,14,12.24761904761905,13.2,11.611874054071507,21.6,0.0,32.4,ok
high_intensity_minutes,True,22,21,0.9545454545454546,1,0.045454545454545456,10,1.4238095238095239,0.0,2.9637653014206036,1.4,0.0,12.6,ok
high_intensity_ratio,True,22,13,0.5909090909090909,9,0.4090909090909091,11,0.09687678648135191,0.0685279187817259,0.1101546652830082,0.1900172612197928,0.0,0.3173803526448362,ok
