table,operation_id,operation_type,formula,base_formula,n_rows,n_dates,n_features,valid_n,valid_ratio,main_invalid_reason
context_derived,baseline_dev_context_before,baseline_deviation,delta,,462,22,21,372,0.8051948051948052,insufficient_baseline
context_derived,baseline_dev_context_before,baseline_deviation,robust_z,,462,22,21,361,0.7813852813852814,insufficient_baseline
context_derived,baseline_dev_context_flags,baseline_deviation,delta,,110,22,5,65,0.5909090909090909,insufficient_baseline
context_derived,day_to_day_context_change,lagged_pairwise,delta,,462,22,21,405,0.8766233766233766,missing_value
context_derived,physio_before_after_response,pairwise_columns,delta,,132,22,6,127,0.9621212121212122,missing_value
context_derived,physio_before_after_response,pairwise_columns,percent_delta,,132,22,6,127,0.9621212121212122,missing_value
context_derived,subjective_before_after_response,pairwise_columns,delta,,308,22,14,275,0.8928571428571429,missing_value
context_derived,training_load_previous_7d,rolling_aggregate,rolling_7d_mean,,198,22,9,184,0.9292929292929293,insufficient_window
context_derived,training_load_previous_7d,rolling_aggregate,rolling_7d_sum,,198,22,9,184,0.9292929292929293,insufficient_window
ecg_derived,baseline_dev_sit_before,baseline_deviation,delta,,176,22,8,152,0.8636363636363636,insufficient_baseline
ecg_derived,baseline_dev_sit_before,baseline_deviation,robust_z,,176,22,8,152,0.8636363636363636,insufficient_baseline
ecg_derived,breath_in_response_before,pairwise,delta,,176,22,8,110,0.625,missing_value
ecg_derived,breath_in_response_before,pairwise,percent_delta,,176,22,8,101,0.5738636363636364,missing_value
ecg_derived,orthostatic_after,pairwise,delta,,176,22,8,176,1.0,
ecg_derived,orthostatic_after,pairwise,percent_delta,,176,22,8,176,1.0,
ecg_derived,orthostatic_after,pairwise,ratio,,176,22,8,176,1.0,
ecg_derived,orthostatic_before,pairwise,delta,,176,22,8,176,1.0,
ecg_derived,orthostatic_before,pairwise,percent_delta,,176,22,8,176,1.0,
ecg_derived,orthostatic_before,pairwise,ratio,,176,22,8,176,1.0,
ecg_derived,orthostatic_training_response,pairwise_derived,delta,delta,176,22,8,176,1.0,
ecg_derived,orthostatic_training_response,pairwise_derived,delta,percent_delta,176,22,8,176,1.0,
ecg_derived,orthostatic_training_response,pairwise_derived,delta,ratio,176,22,8,176,1.0,
ecg_derived,training_response,pairwise,delta,,1342,22,61,772,0.5752608047690015,morphology_qc_passed=false;morphology_qc_passed=false
ecg_derived,training_response,pairwise,percent_delta,,1342,22,61,772,0.5752608047690015,morphology_qc_passed=false;morphology_qc_passed=false
ecg_derived,training_response_hrv_ratio,pairwise,log_ratio,,176,22,8,168,0.9545454545454546,missing_left_and_right
ecg_derived,training_response_hrv_ratio,pairwise,ratio,,176,22,8,168,0.9545454545454546,missing_left_and_right
