feature,role,source_table,feature_family,n_total,n_valid,valid_ratio,n_missing,missing_ratio,n_unique,mean,median,std,iqr,min,max,usable,reason
raw_ecg__before__sit__full__hrv_time__MeanHR_bpm,input,raw_ecg_features,hrv_time,22,22,1.0,0,0.0,22,61.48689660366906,61.13668827334827,3.3461590552125333,3.8375218030615272,54.18979271070497,68.07972997328164,True,ok
raw_ecg__before__sit__full__hrv_time__MeanNN_ms,input,raw_ecg_features,hrv_time,22,22,1.0,0,0.0,22,980.0001277732284,982.7182985060599,53.062949687436394,60.74277574056782,882.4650859199803,1108.2402349196973,True,ok
raw_ecg__before__sit__full__hrv_time__SDNN_ms,input,raw_ecg_features,hrv_time,22,22,1.0,0,0.0,22,36.29130606898634,34.719879770534035,9.697785857091409,9.94780991469651,22.66925638458313,70.17884504117201,True,ok
raw_ecg__before__sit__full__hrv_time__RMSSD_ms,input,raw_ecg_features,hrv_time,22,22,1.0,0,0.0,22,33.66748966776779,32.5422847299387,7.598472253091748,5.3989696245720005,23.845378227662746,60.21720795001275,True,ok
raw_ecg__before__sit__full__hrv_time__pNN50_percent,input,raw_ecg_features,hrv_time,22,22,1.0,0,0.0,21,13.728289385977995,10.853365384615385,9.896072645620709,6.240932242630034,1.694915254237288,49.122807017543856,True,ok
raw_ecg__before__sit__full__hrv_freq__LF_power,input,raw_ecg_features,hrv_freq,22,22,1.0,0,0.0,22,0.0003688492167886992,0.00026346832943960005,0.00028246052969377664,0.00029243998795109997,7.209594690958206e-05,0.001103033584014,True,ok
raw_ecg__before__sit__full__hrv_freq__HF_power,input,raw_ecg_features,hrv_freq,22,22,1.0,0,0.0,22,0.0002382332272400095,0.0001972504345275,0.0002259548730772272,9.045779305217499e-05,7.454966421620925e-05,0.001197771370359,True,ok
raw_ecg__before__sit__full__hrv_freq__LF_HF_ratio,input,raw_ecg_features,hrv_freq,22,22,1.0,0,0.0,22,2.0638695386803163,1.634363940893257,1.9154611517380633,1.4487384121260343,0.3029369404297917,8.40393820712965,True,ok
raw_ecg__before__sit__full__morph_qrs__QRS_duration_ms,input,raw_ecg_features,morph_qrs,22,15,0.6818181818181818,7,0.3181818181818182,9,102.93594938508565,102.36724248240564,23.07471754167154,42.65301770100234,76.77543186180424,136.4896566432075,True,ok
raw_ecg__before__sit__full__morph_qrs__QRS_area,input,raw_ecg_features,morph_qrs,22,15,0.6818181818181818,7,0.3181818181818182,15,9.44353489468214,9.010053024015251,1.420915396897968,1.4536494711202543,7.796662018221651,13.550922698078978,True,ok
raw_ecg__before__sit__full__morph_qrs__QRS_main_amp,input,raw_ecg_features,morph_qrs,22,15,0.6818181818181818,7,0.3181818181818182,15,350.46055738076063,351.6066929172927,5.72407386822926,8.112226304465594,338.1240083155143,359.3527788692929,True,ok
raw_ecg__before__sit__full__morph_qrs__R_width_half_ms,input,raw_ecg_features,morph_qrs,22,15,0.6818181818181818,7,0.3181818181818182,3,32.416293452761785,34.122414160801874,2.697613700292923,4.26530177010023,29.857112390701644,38.38771593090212,False,low_unique_values
raw_ecg__before__sit__full__morph_t__T_amp,input,raw_ecg_features,morph_t,22,15,0.6818181818181818,7,0.3181818181818182,15,48.57165526927905,51.20111808136401,24.98829637481686,16.405260325484534,-29.517213184793064,81.17863646848117,True,ok
raw_ecg__before__sit__full__morph_t__T_area,input,raw_ecg_features,morph_t,22,15,0.6818181818181818,7,0.3181818181818182,15,2.596583251073308,2.595915567766937,1.2448424238738,1.0781493704810647,-0.7674881761067248,4.542725133822075,True,ok
raw_ecg__before__sit__full__morph_t__RT_interval_ms,input,raw_ecg_features,morph_t,22,15,0.6818181818181818,7,0.3181818181818182,8,248.80926992251366,255.91810620601407,35.27096447630827,8.530603540200445,123.6937513329068,272.979313286415,True,ok
raw_ecg__before__sit__full__morph_t__QT_like_ms,input,raw_ecg_features,morph_t,22,15,0.6818181818181818,7,0.3181818181818182,8,330.41871045709814,332.69353806781834,20.319692646208093,10.663254425250557,264.44870974621455,358.28534868841973,True,ok
raw_ecg__before__stand__full__hrv_time__MeanHR_bpm,input,raw_ecg_features,hrv_time,22,22,1.0,0,0.0,22,79.26043718673378,78.04804541029529,6.956107528570708,9.150901327105913,67.62547922219652,92.5981913570132,True,ok
raw_ecg__before__stand__full__hrv_time__MeanNN_ms,input,raw_ecg_features,hrv_time,22,22,1.0,0,0.0,22,768.5231448250698,780.4257232280265,63.897660336604815,90.18052494806625,653.9181535982559,888.3639286710304,True,ok
raw_ecg__before__stand__full__hrv_time__SDNN_ms,input,raw_ecg_features,hrv_time,22,22,1.0,0,0.0,22,61.7495533289192,58.14578744229281,23.393243688953074,41.63132571868755,31.73556941239689,106.98162968541116,True,ok
raw_ecg__before__stand__full__hrv_time__RMSSD_ms,input,raw_ecg_features,hrv_time,22,22,1.0,0,0.0,22,25.09252584910786,23.091830512107684,10.431396144063074,4.647642362348041,11.57517236205179,63.38218077128261,True,ok
raw_ecg__before__stand__full__hrv_time__pNN50_percent,input,raw_ecg_features,hrv_time,22,22,1.0,0,0.0,20,4.081131931409368,2.837022132796781,4.519719615997423,2.9067185086283165,0.0,20.54794520547945,True,ok
raw_ecg__before__stand__full__hrv_freq__LF_power,input,raw_ecg_features,hrv_freq,22,22,1.0,0,0.0,22,0.0007322053423039325,0.0003442352182646,0.0009902304732288473,0.0007381313433746,9.025355045921328e-05,0.0045581223625979,True,ok
raw_ecg__before__stand__full__hrv_freq__HF_power,input,raw_ecg_features,hrv_freq,22,22,1.0,0,0.0,22,0.00015933008368406004,0.000126782968069,0.00012009034970585524,0.00015501924060220168,3.542157383253275e-05,0.0004796931589642,True,ok
raw_ecg__before__stand__full__hrv_freq__LF_HF_ratio,input,raw_ecg_features,hrv_freq,22,22,1.0,0,0.0,22,5.246690306822076,3.16088905621823,5.2326673033014135,5.420390076767234,0.5211772141687878,18.88260091268538,True,ok
raw_ecg__before__stand__full__morph_qrs__QRS_duration_ms,input,raw_ecg_features,morph_qrs,22,6,0.2727272727272727,16,0.7272727272727273,4,86.01691903035474,81.04073363190446,10.93005251654657,6.3979526551503625,76.77543186180424,106.63254425250588,False,low_valid_n;low_valid_ratio;low_unique_values
raw_ecg__before__stand__full__morph_qrs__QRS_area,input,raw_ecg_features,morph_qrs,22,6,0.2727272727272727,16,0.7272727272727273,6,11.57837244287792,11.421728958158965,1.4126726310552487,1.5746153163544143,10.161491769031873,13.922565190209756,False,low_valid_n;low_valid_ratio
raw_ecg__before__stand__full__morph_qrs__QRS_main_amp,input,raw_ecg_features,morph_qrs,22,6,0.2727272727272727,16,0.7272727272727273,6,361.5531986631845,361.97871048434615,5.125673469476571,5.9551977265060145,353.4759771265451,367.4115032472839,False,low_valid_n;low_valid_ratio
raw_ecg__before__stand__full__morph_qrs__R_width_half_ms,input,raw_ecg_features,morph_qrs,22,6,0.2727272727272727,16,0.7272727272727273,3,36.25506504585199,34.122414160801874,3.5686074921479043,3.1989763275751812,34.122414160801874,42.65301770100235,False,low_valid_n;low_valid_ratio;low_unique_values
raw_ecg__before__stand__full__morph_t__T_amp,input,raw_ecg_features,morph_t,22,5,0.22727272727272727,17,0.7727272727272727,5,-5.321349335667211,-18.42619695909009,38.611943991629566,50.94922827252799,-51.60301486376077,42.47774252964345,False,low_valid_n;low_valid_ratio
raw_ecg__before__stand__full__morph_t__T_area,input,raw_ecg_features,morph_t,22,5,0.22727272727272727,17,0.7727272727272727,5,0.017251287375435576,-0.1519543241872395,1.5943811438853177,1.713884547080532,-2.161689680612953,1.978994588581576,False,low_valid_n;low_valid_ratio
raw_ecg__before__stand__full__morph_t__RT_interval_ms,input,raw_ecg_features,morph_t,22,5,0.22727272727272727,17,0.7727272727272727,4,181.70185540627003,196.2038814246108,74.1598489422889,140.75495841330778,98.1019407123054,251.65280443591388,False,low_valid_n;low_valid_ratio;low_unique_values
raw_ecg__before__stand__full__morph_t__QT_like_ms,input,raw_ecg_features,morph_t,22,5,0.22727272727272727,17,0.7727272727272727,5,296.8650031989763,290.040520366816,25.341779957369067,29.857112390701616,268.7140115163148,332.69353806781834,False,low_valid_n;low_valid_ratio
raw_ecg__before__long__full__hrv_time__MeanHR_bpm,input,raw_ecg_features,hrv_time,22,21,0.9545454545454546,1,0.045454545454545456,21,61.42505912495664,60.84242054071896,3.928892475601644,4.0208378928964095,55.31656830764515,73.3157386306437,True,ok
raw_ecg__before__long__full__hrv_time__MeanNN_ms,input,raw_ecg_features,hrv_time,22,21,0.9545454545454546,1,0.045454545454545456,21,984.377964081427,987.5162243887696,58.42196579215388,55.80116377512013,826.2515736423256,1086.3132070243605,True,ok
raw_ecg__before__long__full__hrv_time__SDNN_ms,input,raw_ecg_features,hrv_time,22,21,0.9545454545454546,1,0.045454545454545456,21,57.271791471901224,50.20794019546836,20.436285550419782,21.032770845260885,36.25180382160749,125.74490729196096,True,ok
