target,target_column,feature,n_target_valid,n_feature_valid,n_overlap,overlap_ratio,usable,reason
subjective_strain_delta,target__subjective_strain_delta,raw_ecg__before__sit__full__hrv_time__MeanHR_bpm,21,22,21,0.9545454545454546,True,ok
subjective_strain_delta,target__subjective_strain_delta,raw_ecg__before__sit__full__hrv_time__MeanNN_ms,21,22,21,0.9545454545454546,True,ok
subjective_strain_delta,target__subjective_strain_delta,raw_ecg__before__sit__full__hrv_time__SDNN_ms,21,22,21,0.9545454545454546,True,ok
subjective_strain_delta,target__subjective_strain_delta,raw_ecg__before__sit__full__hrv_time__RMSSD_ms,21,22,21,0.9545454545454546,True,ok
subjective_strain_delta,target__subjective_strain_delta,raw_ecg__before__sit__full__hrv_time__pNN50_percent,21,22,21,0.9545454545454546,True,ok
subjective_strain_delta,target__subjective_strain_delta,raw_ecg__before__sit__full__hrv_freq__LF_power,21,22,21,0.9545454545454546,True,ok
subjective_strain_delta,target__subjective_strain_delta,raw_ecg__before__sit__full__hrv_freq__HF_power,21,22,21,0.9545454545454546,True,ok
subjective_strain_delta,target__subjective_strain_delta,raw_ecg__before__sit__full__hrv_freq__LF_HF_ratio,21,22,21,0.9545454545454546,True,ok
subjective_strain_delta,target__subjective_strain_delta,raw_ecg__before__sit__full__morph_qrs__QRS_duration_ms,21,15,15,0.6818181818181818,True,ok
subjective_strain_delta,target__subjective_strain_delta,raw_ecg__before__sit__full__morph_qrs__QRS_area,21,15,15,0.6818181818181818,True,ok
subjective_strain_delta,target__subjective_strain_delta,raw_ecg__before__sit__full__morph_qrs__QRS_main_amp,21,15,15,0.6818181818181818,True,ok
subjective_strain_delta,target__subjective_strain_delta,raw_ecg__before__sit__full__morph_qrs__R_width_half_ms,21,15,15,0.6818181818181818,True,ok
subjective_strain_delta,target__subjective_strain_delta,raw_ecg__before__sit__full__morph_t__T_amp,21,15,15,0.6818181818181818,True,ok
subjective_strain_delta,target__subjective_strain_delta,raw_ecg__before__sit__full__morph_t__T_area,21,15,15,0.6818181818181818,True,ok
subjective_strain_delta,target__subjective_strain_delta,raw_ecg__before__sit__full__morph_t__RT_interval_ms,21,15,15,0.6818181818181818,True,ok
subjective_strain_delta,target__subjective_strain_delta,raw_ecg__before__sit__full__morph_t__QT_like_ms,21,15,15,0.6818181818181818,True,ok
subjective_strain_delta,target__subjective_strain_delta,raw_ecg__before__stand__full__hrv_time__MeanHR_bpm,21,22,21,0.9545454545454546,True,ok
subjective_strain_delta,target__subjective_strain_delta,raw_ecg__before__stand__full__hrv_time__MeanNN_ms,21,22,21,0.9545454545454546,True,ok
subjective_strain_delta,target__subjective_strain_delta,raw_ecg__before__stand__full__hrv_time__SDNN_ms,21,22,21,0.9545454545454546,True,ok
subjective_strain_delta,target__subjective_strain_delta,raw_ecg__before__stand__full__hrv_time__RMSSD_ms,21,22,21,0.9545454545454546,True,ok
subjective_strain_delta,target__subjective_strain_delta,raw_ecg__before__stand__full__hrv_time__pNN50_percent,21,22,21,0.9545454545454546,True,ok
subjective_strain_delta,target__subjective_strain_delta,raw_ecg__before__stand__full__hrv_freq__LF_power,21,22,21,0.9545454545454546,True,ok
subjective_strain_delta,target__subjective_strain_delta,raw_ecg__before__stand__full__hrv_freq__HF_power,21,22,21,0.9545454545454546,True,ok
subjective_strain_delta,target__subjective_strain_delta,raw_ecg__before__stand__full__hrv_freq__LF_HF_ratio,21,22,21,0.9545454545454546,True,ok
subjective_strain_delta,target__subjective_strain_delta,raw_ecg__before__stand__full__morph_qrs__QRS_duration_ms,21,6,6,0.2727272727272727,False,low_overlap_n;low_overlap_ratio
subjective_strain_delta,target__subjective_strain_delta,raw_ecg__before__stand__full__morph_qrs__QRS_area,21,6,6,0.2727272727272727,False,low_overlap_n;low_overlap_ratio
subjective_strain_delta,target__subjective_strain_delta,raw_ecg__before__stand__full__morph_qrs__QRS_main_amp,21,6,6,0.2727272727272727,False,low_overlap_n;low_overlap_ratio
