rank,status,recommended,feature_readable,feature_family,condition,base_feature,formula_readable,formula_family,pairwise_n,valid_fraction,spearman_r,abs_spearman,bootstrap_sign_stability,mutual_information,not_recommended_reason,feature_name
1,reject,False,"RT interval, ms (before, long, full)",ECG raw,before/long/full,morph_t__RT_interval_ms,absolute value,RT_interval_ms,6,0.273,0.716,0.716,0.948,0.061,low_valid_fraction,ecg_raw_rest_before::before__long__full__morph_t__RT_interval_ms
2,reject,False,"R half-width, ms (before, long, full)",ECG raw,before/long/full,morph_qrs__R_width_half_ms,absolute value,R_width_half_ms,7,0.318,-0.643,0.643,0.944,0.043,low_valid_fraction;low_unique_values,ecg_raw_rest_before::before__long__full__morph_qrs__R_width_half_ms
3,recommended,True,"QRS area (before, sit, full)",ECG raw,before/sit/full,morph_qrs__QRS_area,absolute value,QRS_area,15,0.682,-0.518,0.518,0.966,0.0,strong_association;stable_direction;sufficient_coverage,ecg_raw_rest_before::before__sit__full__morph_qrs__QRS_area
4,recommended,True,Orthostatic response before training: LF/HF ratio — percent change,HRV frequency,Orthostatic response before training,hrv_freq__LF_HF_ratio,percent change,relative_change,21,0.955,-0.501,0.501,0.986,0.026,strong_association;stable_direction;sufficient_coverage,ecg_orthostatic_before::orthostatic_before__hrv_freq__LF_HF_ratio__percent_delta
5,reject,False,"QT-like interval, ms (before, long, full)",ECG raw,before/long/full,morph_t__QT_like_ms,absolute value,QT_like_ms,6,0.273,0.493,0.493,0.852,0.0,low_valid_fraction,ecg_raw_rest_before::before__long__full__morph_t__QT_like_ms
6,recommended,True,Orthostatic response before training: HF power — difference,HRV frequency,Orthostatic response before training,hrv_freq__HF_power,difference,absolute_change,21,0.955,0.433,0.433,0.978,0.405,strong_association;stable_direction;sufficient_coverage,ecg_orthostatic_before::orthostatic_before__hrv_freq__HF_power__delta
7,recommended,True,Orthostatic response before training: HF power — percent change,HRV frequency,Orthostatic response before training,hrv_freq__HF_power,percent change,relative_change,21,0.955,0.402,0.402,0.946,0.344,strong_association;stable_direction;sufficient_coverage,ecg_orthostatic_before::orthostatic_before__hrv_freq__HF_power__percent_delta
8,candidate,False,"Orthostatic response before training: pNN50, % — percent change",HRV time,Orthostatic response before training,hrv_time__pNN50_percent,percent change,relative_change,21,0.955,0.39,0.39,0.954,0.0,moderate_association;passes_minimum_filters,ecg_orthostatic_before::orthostatic_before__hrv_time__pNN50_percent__percent_delta
9,candidate,False,Orthostatic response before training: LF/HF ratio — difference,HRV frequency,Orthostatic response before training,hrv_freq__LF_HF_ratio,difference,absolute_change,22,1.0,-0.389,0.389,0.956,0.108,moderate_association;passes_minimum_filters,ecg_orthostatic_before::orthostatic_before__hrv_freq__LF_HF_ratio__delta
10,candidate,False,"pNN50, % (before, long, full)",ECG raw,before/long/full,hrv_time__pNN50_percent,absolute value,pNN50_percent,21,0.955,0.388,0.388,0.956,0.189,moderate_association;passes_minimum_filters,ecg_raw_rest_before::before__long__full__hrv_time__pNN50_percent
11,candidate,False,"QRS duration, ms (before, sit, full)",ECG raw,before/sit/full,morph_qrs__QRS_duration_ms,absolute value,QRS_duration_ms,15,0.682,0.382,0.382,0.882,0.0,moderate_association;passes_minimum_filters,ecg_raw_rest_before::before__sit__full__morph_qrs__QRS_duration_ms
12,reject,False,"QRS area (before, long, full)",ECG raw,before/long/full,morph_qrs__QRS_area,absolute value,QRS_area,7,0.318,-0.342,0.342,0.768,0.0,low_valid_fraction,ecg_raw_rest_before::before__long__full__morph_qrs__QRS_area
13,reject,False,"R half-width, ms (before, sit, full)",ECG raw,before/sit/full,morph_qrs__R_width_half_ms,absolute value,R_width_half_ms,15,0.682,-0.338,0.338,0.872,0.0,low_unique_values,ecg_raw_rest_before::before__sit__full__morph_qrs__R_width_half_ms
14,candidate,False,"Poincaré SD1, ms (before, long, full)",ECG raw,before/long/full,hrv_nonlinear__SD1_ms,absolute value,SD1_ms,20,0.909,0.333,0.333,0.92,0.009,moderate_association;passes_minimum_filters,ecg_raw_rest_before::before__long__full__hrv_nonlinear__SD1_ms
15,candidate,False,"RMSSD, ms (before, long, full)",ECG raw,before/long/full,hrv_time__RMSSD_ms,absolute value,RMSSD_ms,20,0.909,0.333,0.333,0.92,0.009,moderate_association;passes_minimum_filters,ecg_raw_rest_before::before__long__full__hrv_time__RMSSD_ms
16,candidate,False,"RT interval, ms (before, sit, full)",ECG raw,before/sit/full,morph_t__RT_interval_ms,absolute value,RT_interval_ms,14,0.636,0.328,0.328,0.852,0.014,moderate_association;passes_minimum_filters,ecg_raw_rest_before::before__sit__full__morph_t__RT_interval_ms
17,candidate,False,"Deviation from personal baseline, sit before training: LF power — difference",HRV frequency,"Deviation from personal baseline, sit before training",hrv_freq__LF_power,difference,absolute_change,19,0.864,0.32,0.32,0.894,0.0,moderate_association;passes_minimum_filters,ecg_baseline_before::baseline_dev_sit_before__hrv_freq__LF_power__delta
18,candidate,False,"Orthostatic response before training: RMSSD, ms — percent change",HRV time,Orthostatic response before training,hrv_time__RMSSD_ms,percent change,relative_change,21,0.955,0.316,0.316,0.914,0.0,moderate_association;passes_minimum_filters,ecg_orthostatic_before::orthostatic_before__hrv_time__RMSSD_ms__percent_delta
19,candidate,False,"Deviation from personal baseline, sit before training: SDNN, ms — robust z-score",HRV time,"Deviation from personal baseline, sit before training",hrv_time__SDNN_ms,robust z-score,normalized_deviation,19,0.864,0.312,0.312,0.848,0.048,moderate_association;passes_minimum_filters,ecg_baseline_before::baseline_dev_sit_before__hrv_time__SDNN_ms__robust_z
20,candidate,False,"QRS main amplitude (before, sit, full)",ECG raw,before/sit/full,morph_qrs__QRS_main_amp,absolute value,QRS_main_amp,15,0.682,-0.311,0.311,0.858,0.049,moderate_association;passes_minimum_filters,ecg_raw_rest_before::before__sit__full__morph_qrs__QRS_main_amp
21,candidate,False,"QT-like interval, ms (before, sit, full)",ECG raw,before/sit/full,morph_t__QT_like_ms,absolute value,QT_like_ms,14,0.636,0.304,0.304,0.848,0.0,moderate_association;passes_minimum_filters,ecg_raw_rest_before::before__sit__full__morph_t__QT_like_ms
22,weak,False,"Inhale breath-hold response before training: pNN50, % — difference",HRV time,Inhale breath-hold response before training,hrv_time__pNN50_percent,difference,absolute_change,22,1.0,-0.297,0.297,0.912,0.115,low_abs_spearman,ecg_breath_before::breath_in_response_before__hrv_time__pNN50_percent__delta
23,weak,False,"Deviation from personal baseline, sit before training: SDNN, ms — difference",HRV time,"Deviation from personal baseline, sit before training",hrv_time__SDNN_ms,difference,absolute_change,19,0.864,0.296,0.296,0.868,0.001,low_abs_spearman,ecg_baseline_before::baseline_dev_sit_before__hrv_time__SDNN_ms__delta
24,reject,False,"Inhale breath-hold response before training: pNN50, % — percent change",HRV time,Inhale breath-hold response before training,hrv_time__pNN50_percent,percent change,relative_change,13,0.591,0.285,0.285,0.845,0.007,low_unique_values;low_abs_spearman,ecg_breath_before::breath_in_response_before__hrv_time__pNN50_percent__percent_delta
25,weak,False,"Deviation from personal baseline, sit before training: Mean NN interval, ms — robust z-score",HRV time,"Deviation from personal baseline, sit before training",hrv_time__MeanNN_ms,robust z-score,normalized_deviation,19,0.864,0.281,0.281,0.874,0.064,low_abs_spearman,ecg_baseline_before::baseline_dev_sit_before__hrv_time__MeanNN_ms__robust_z
26,weak,False,Orthostatic response before training: LF power — difference,HRV frequency,Orthostatic response before training,hrv_freq__LF_power,difference,absolute_change,21,0.955,-0.279,0.279,0.926,0.165,low_abs_spearman,ecg_orthostatic_before::orthostatic_before__hrv_freq__LF_power__delta
27,weak,False,"LF power (before, sit, full)",ECG raw,before/sit/full,hrv_freq__LF_power,absolute value,LF_power,22,1.0,0.271,0.271,0.846,0.103,low_abs_spearman,ecg_raw_rest_before::before__sit__full__hrv_freq__LF_power
28,weak,False,"Deviation from personal baseline, sit before training: RMSSD, ms — difference",HRV time,"Deviation from personal baseline, sit before training",hrv_time__RMSSD_ms,difference,absolute_change,19,0.864,0.264,0.264,0.828,0.087,low_abs_spearman,ecg_baseline_before::baseline_dev_sit_before__hrv_time__RMSSD_ms__delta
29,weak,False,"Orthostatic response before training: SDNN, ms — difference",HRV time,Orthostatic response before training,hrv_time__SDNN_ms,difference,absolute_change,22,1.0,0.25,0.25,0.854,0.013,low_abs_spearman,ecg_orthostatic_before::orthostatic_before__hrv_time__SDNN_ms__delta
30,weak,False,"LF/HF ratio (before, long, full)",ECG raw,before/long/full,hrv_freq__LF_HF_ratio,absolute value,LF_HF_ratio,20,0.909,-0.243,0.243,0.832,0.0,low_abs_spearman,ecg_raw_rest_before::before__long__full__hrv_freq__LF_HF_ratio
31,reject,False,"QRS duration, ms (before, long, full)",ECG raw,before/long/full,morph_qrs__QRS_duration_ms,absolute value,QRS_duration_ms,7,0.318,-0.239,0.239,0.695,0.0,low_valid_fraction;low_abs_spearman,ecg_raw_rest_before::before__long__full__morph_qrs__QRS_duration_ms
32,weak,False,"HF power (before, long, full)",ECG raw,before/long/full,hrv_freq__HF_power,absolute value,HF_power,20,0.909,0.221,0.221,0.794,0.0,low_abs_spearman,ecg_raw_rest_before::before__long__full__hrv_freq__HF_power
33,weak,False,"Deviation from personal baseline, sit before training: Mean NN interval, ms — difference",HRV time,"Deviation from personal baseline, sit before training",hrv_time__MeanNN_ms,difference,absolute_change,19,0.864,0.216,0.216,0.788,0.071,low_abs_spearman,ecg_baseline_before::baseline_dev_sit_before__hrv_time__MeanNN_ms__delta
34,weak,False,"Deviation from personal baseline, sit before training: Mean heart rate, bpm — robust z-score",HRV time,"Deviation from personal baseline, sit before training",hrv_time__MeanHR_bpm,robust z-score,normalized_deviation,18,0.818,-0.203,0.203,0.784,0.154,low_abs_spearman,ecg_baseline_before::baseline_dev_sit_before__hrv_time__MeanHR_bpm__robust_z
35,weak,False,"Deviation from personal baseline, sit before training: Mean heart rate, bpm — difference",HRV time,"Deviation from personal baseline, sit before training",hrv_time__MeanHR_bpm,difference,absolute_change,19,0.864,-0.188,0.188,0.762,0.103,low_abs_spearman,ecg_baseline_before::baseline_dev_sit_before__hrv_time__MeanHR_bpm__delta
