value_role,subject_id,date,feature_name,original_value,new_value,outlier_score,method,threshold,action
feature,default,2026-04-21,ecg_raw_rest_before::before__long__full__hrv_freq__HF_power,0.0053488485903661,,40.277020203595434,robust_mad,5.0,set_nan
feature,default,2026-04-08,ecg_raw_rest_before::before__long__full__hrv_freq__LF_HF_ratio,9.25349573244515,,7.178537235763312,robust_mad,5.0,set_nan
feature,default,2026-04-08,ecg_raw_rest_before::before__long__full__hrv_freq__LF_power,0.0031125518865163,,19.061905509041054,robust_mad,5.0,set_nan
feature,default,2026-04-21,ecg_raw_rest_before::before__long__full__hrv_freq__LF_power,0.005279074119259,,34.21825111009245,robust_mad,5.0,set_nan
feature,default,2026-04-21,ecg_raw_rest_before::before__long__full__hrv_nonlinear__SD1_ms,109.76751255702096,,7.2780983717462515,robust_mad,5.0,set_nan
feature,default,2026-04-21,ecg_raw_rest_before::before__long__full__hrv_time__RMSSD_ms,154.98249816799543,,7.276416063387652,robust_mad,5.0,set_nan
feature,default,2026-04-21,ecg_raw_rest_before::before__long__full__morph_t__QT_like_ms,272.979313286415,,-10.791852151625415,robust_mad,5.0,set_nan
feature,default,2026-04-21,ecg_raw_rest_before::before__long__full__morph_t__RT_interval_ms,145.020260183408,,-18.211250505868122,robust_mad,5.0,set_nan
feature,default,2026-04-21,ecg_raw_rest_before::before__long__full__morph_t__T_amp,-43.423313680919904,,-5.924005781517166,robust_mad,5.0,set_nan
feature,default,2026-04-13,ecg_raw_rest_before::before__sit__full__hrv_freq__HF_power,0.001197771370359,,13.983858488193551,robust_mad,5.0,set_nan
feature,default,2026-04-09,ecg_raw_rest_before::before__sit__full__hrv_freq__LF_HF_ratio,8.40393820712965,,5.7751813930577,robust_mad,5.0,set_nan
feature,default,2026-04-13,ecg_raw_rest_before::before__sit__full__hrv_nonlinear__SD1_ms,42.957663159284046,,6.944173286520057,robust_mad,5.0,set_nan
feature,default,2026-04-13,ecg_raw_rest_before::before__sit__full__hrv_time__RMSSD_ms,60.21720795001275,,6.891632642441574,robust_mad,5.0,set_nan
feature,default,2026-04-13,ecg_raw_rest_before::before__sit__full__hrv_time__pNN50_percent,49.122807017543856,,6.973872371522511,robust_mad,5.0,set_nan
feature,default,2026-04-21,ecg_raw_rest_before::before__sit__full__morph_t__QT_like_ms,264.44870974621455,,-10.791852151625415,robust_mad,5.0,set_nan
feature,default,2026-04-21,ecg_raw_rest_before::before__sit__full__morph_t__RT_interval_ms,123.6937513329068,,-20.909213543774648,robust_mad,5.0,set_nan
feature,default,2026-04-21,ecg_raw_rest_before::before__sit__full__morph_t__T_amp,-29.517213184793064,,-7.411639998046946,robust_mad,5.0,set_nan
feature,default,2026-04-13,ecg_orthostatic_before::orthostatic_before__hrv_freq__HF_power__delta,-0.0008232227279323,,-6.00837011806186,robust_mad,5.0,set_nan
feature,default,2026-04-21,ecg_orthostatic_before::orthostatic_before__hrv_freq__HF_power__percent_delta,342.44155108465736,,8.436581495134586,robust_mad,5.0,set_nan
feature,default,2026-04-13,ecg_orthostatic_before::orthostatic_before__hrv_freq__LF_HF_ratio__percent_delta,1891.3933824103387,,5.549046817010351,robust_mad,5.0,set_nan
feature,default,2026-04-13,ecg_orthostatic_before::orthostatic_before__hrv_freq__LF_power__delta,0.0038261501055067,,9.261798040725614,robust_mad,5.0,set_nan
feature,default,2026-04-11,ecg_orthostatic_before::orthostatic_before__hrv_freq__LF_power__percent_delta,1808.016805804617,,12.114796878251102,robust_mad,5.0,set_nan
feature,default,2026-04-08,ecg_orthostatic_before::orthostatic_before__hrv_time__RMSSD_ms__delta,30.93801348908726,,7.125889268010256,robust_mad,5.0,set_nan
feature,default,2026-04-08,ecg_orthostatic_before::orthostatic_before__hrv_time__RMSSD_ms__percent_delta,95.35770550062897,,7.456219336246045,robust_mad,5.0,set_nan
feature,default,2026-04-07,ecg_orthostatic_before::orthostatic_before__hrv_time__pNN50_percent__percent_delta,139.18918918918922,,7.5464407977729495,robust_mad,5.0,set_nan
feature,default,2026-04-13,ecg_baseline_before::baseline_dev_sit_before__hrv_freq__HF_power__delta,0.0010395926970073,,11.094753533551904,robust_mad,5.0,set_nan
feature,default,2026-04-06,ecg_baseline_before::baseline_dev_sit_before__hrv_freq__HF_power__robust_z,-9.317118998169423,,-10.756347842935758,robust_mad,5.0,set_nan
feature,default,2026-04-13,ecg_baseline_before::baseline_dev_sit_before__hrv_freq__HF_power__robust_z,13.1424736378829,,16.2520627376984,robust_mad,5.0,set_nan
feature,default,2026-04-09,ecg_baseline_before::baseline_dev_sit_before__hrv_freq__LF_power__robust_z,8.695094228081913,,5.847578751268076,robust_mad,5.0,set_nan
feature,default,2026-04-21,ecg_baseline_before::baseline_dev_sit_before__hrv_time__MeanHR_bpm__robust_z,2.8184553763385183,,5.07573681839253,robust_mad,5.0,set_nan
feature,default,2026-04-13,ecg_baseline_before::baseline_dev_sit_before__hrv_time__RMSSD_ms__robust_z,7.693261262923534,,6.278825471909783,robust_mad,5.0,set_nan
feature,default,2026-04-13,ecg_baseline_before::baseline_dev_sit_before__hrv_time__pNN50_percent__delta,38.185307017543856,,6.078514408776657,robust_mad,5.0,set_nan
feature,default,2026-04-13,ecg_baseline_before::baseline_dev_sit_before__hrv_time__pNN50_percent__robust_z,11.16046995999679,,9.665135798877877,robust_mad,5.0,set_nan
