rank,feature_name,n_total,n_valid_x,valid_fraction,pairwise_n,n_unique,mean,std,min,max,pearson_r,pearson_p,spearman_r,spearman_p,abs_pearson,abs_spearman,mutual_information,bootstrap_spearman_median,bootstrap_spearman_ci_low,bootstrap_spearman_ci_high,bootstrap_sign_stability,feature_set_name,feature_family,operation,condition,base_feature,formula_readable,feature_readable,formula_family,equivalent_feature_key,status,recommended,not_recommended_reason
1,ecg_raw_rest_before::before__long__full__morph_t__RT_interval_ms,22,6,0.2727272727272727,6,4,262.31605886116444,4.473486236596947,255.91810620601407,268.7140115163148,0.7400420714904814,0.092583452251308,0.7164977208318386,0.10916727222779427,0.7400420714904814,0.7164977208318386,0.06111111111111156,0.7385489458759964,-0.11479513282906308,1.0,0.9478957915831663,ecg_raw_rest_before,ECG raw,absolute,before/long/full,morph_t__RT_interval_ms,absolute value,"RT interval, ms (before, long, full)",RT_interval_ms,ecg_raw_rest_before||absolute||before/long/full||morph_t__RT_interval_ms||RT_interval_ms,reject,False,low_valid_fraction
2,ecg_raw_rest_before::before__long__full__morph_qrs__R_width_half_ms,22,7,0.3181818181818182,7,3,34.122414160801874,4.265301770100234,29.857112390701644,42.65301770100235,-0.45952300011204644,0.2995752866857375,-0.6432242017658957,0.11911248483727523,0.45952300011204644,0.6432242017658957,0.04285714285714293,-0.6627334956636112,-0.9393364366277241,0.20381606986937764,0.9443298969072165,ecg_raw_rest_before,ECG raw,absolute,before/long/full,morph_qrs__R_width_half_ms,absolute value,"R half-width, ms (before, long, full)",R_width_half_ms,ecg_raw_rest_before||absolute||before/long/full||morph_qrs__R_width_half_ms||R_width_half_ms,reject,False,low_valid_fraction;low_unique_values
3,ecg_raw_rest_before::before__sit__full__morph_qrs__QRS_area,22,15,0.6818181818181818,15,15,9.44353489468214,1.420915396897968,7.796662018221651,13.550922698078978,-0.34972953777322746,0.2013175638050627,-0.5175304512959598,0.048169843046211816,0.34972953777322746,0.5175304512959598,0.0,-0.5139082361683834,-0.8569659183485263,0.028663088863212803,0.966,ecg_raw_rest_before,ECG raw,absolute,before/sit/full,morph_qrs__QRS_area,absolute value,"QRS area (before, sit, full)",QRS_area,ecg_raw_rest_before||absolute||before/sit/full||morph_qrs__QRS_area||QRS_area,recommended,True,strong_association;stable_direction;sufficient_coverage
4,ecg_orthostatic_before::orthostatic_before__hrv_freq__LF_HF_ratio__percent_delta,22,21,0.9545454545454546,21,21,287.36034953292204,403.1236155133154,-77.55865598489844,1389.4100594752388,-0.35255381097982197,0.11699893441174651,-0.5014674742137494,0.02055840885778712,0.35255381097982197,0.5014674742137494,0.026275274965014805,-0.5000038598464039,-0.8044340306168397,-0.039147784337692004,0.986,ecg_orthostatic_before,HRV frequency,orthostatic_before,Orthostatic response before training,hrv_freq__LF_HF_ratio,percent change,Orthostatic response before training: LF/HF ratio — percent change,relative_change,ecg_orthostatic_before||orthostatic_before||Orthostatic response before training||hrv_freq__LF_HF_ratio||relative_change,recommended,True,strong_association;stable_direction;sufficient_coverage
5,ecg_raw_rest_before::before__long__full__morph_t__QT_like_ms,22,6,0.2727272727272727,6,4,339.80237435131875,7.469354111929331,328.42823629771806,345.48944337811906,0.32938762971655783,0.5237872102482395,0.492832882906958,0.3206013483265562,0.32938762971655783,0.492832882906958,0.0,0.5388159060803246,-0.44721359549995804,0.9495720718664171,0.8522267206477733,ecg_raw_rest_before,ECG raw,absolute,before/long/full,morph_t__QT_like_ms,absolute value,"QT-like interval, ms (before, long, full)",QT_like_ms,ecg_raw_rest_before||absolute||before/long/full||morph_t__QT_like_ms||QT_like_ms,reject,False,low_valid_fraction
6,ecg_orthostatic_before::orthostatic_before__hrv_freq__HF_power__delta,22,21,0.9545454545454546,21,21,-4.345935382373372e-05,0.0001313176080675728,-0.000288307097379,0.0002552890264703,0.19185723098111035,0.40476283806347507,0.4330855459118745,0.049865976574785725,0.19185723098111035,0.4330855459118745,0.40520219538353097,0.44983739852216276,0.011893025863101654,0.6882052984963634,0.978,ecg_orthostatic_before,HRV frequency,orthostatic_before,Orthostatic response before training,hrv_freq__HF_power,difference,Orthostatic response before training: HF power — difference,absolute_change,ecg_orthostatic_before||orthostatic_before||Orthostatic response before training||hrv_freq__HF_power||absolute_change,recommended,True,strong_association;stable_direction;sufficient_coverage
7,ecg_orthostatic_before::orthostatic_before__hrv_freq__HF_power__percent_delta,22,21,0.9545454545454546,21,21,-27.26385747491254,53.36021663672066,-79.70300631063158,101.5602598354345,0.17990594583432148,0.435185295665085,0.4016940704167733,0.07107803688826106,0.17990594583432148,0.4016940704167733,0.3443899645082751,0.4233549808419553,-0.08742244724382613,0.7223269490386749,0.946,ecg_orthostatic_before,HRV frequency,orthostatic_before,Orthostatic response before training,hrv_freq__HF_power,percent change,Orthostatic response before training: HF power — percent change,relative_change,ecg_orthostatic_before||orthostatic_before||Orthostatic response before training||hrv_freq__HF_power||relative_change,recommended,True,strong_association;stable_direction;sufficient_coverage
8,ecg_orthostatic_before::orthostatic_before__hrv_time__pNN50_percent__percent_delta,22,21,0.9545454545454546,21,19,-69.79739333703161,28.033366422194756,-100.0,-4.119850187265911,0.1996072101376045,0.38567784470444705,0.3899581315068654,0.08054379747846033,0.1996072101376045,0.3899581315068654,0.0,0.3721874673594041,-0.08596682994817721,0.7107582898140018,0.954,ecg_orthostatic_before,HRV time,orthostatic_before,Orthostatic response before training,hrv_time__pNN50_percent,percent change,"Orthostatic response before training: pNN50, % — percent change",relative_change,ecg_orthostatic_before||orthostatic_before||Orthostatic response before training||hrv_time__pNN50_percent||relative_change,candidate,False,moderate_association;passes_minimum_filters
9,ecg_orthostatic_before::orthostatic_before__hrv_freq__LF_HF_ratio__delta,22,22,1.0,22,22,3.18282076814176,5.845623903731907,-4.491263554285037,17.614810300384946,-0.2555810275258841,0.25096883414057125,-0.38890587550797884,0.07364125167117566,0.2555810275258841,0.38890587550797884,0.1078226111771714,-0.41453435694611274,-0.7268032727958904,0.09090581939386289,0.956,ecg_orthostatic_before,HRV frequency,orthostatic_before,Orthostatic response before training,hrv_freq__LF_HF_ratio,difference,Orthostatic response before training: LF/HF ratio — difference,absolute_change,ecg_orthostatic_before||orthostatic_before||Orthostatic response before training||hrv_freq__LF_HF_ratio||absolute_change,candidate,False,moderate_association;passes_minimum_filters
10,ecg_raw_rest_before::before__long__full__hrv_time__pNN50_percent,22,21,0.9545454545454546,21,21,20.33181472593069,15.404225657110917,2.6578073089701,67.61006289308176,0.33223945148569184,0.14116646701095556,0.3881488501706424,0.08208284320688798,0.33223945148569184,0.3881488501706424,0.18899052137110628,0.3978365755804419,-0.05795767147662618,0.7282936666003864,0.956,ecg_raw_rest_before,ECG raw,absolute,before/long/full,hrv_time__pNN50_percent,absolute value,"pNN50, % (before, long, full)",pNN50_percent,ecg_raw_rest_before||absolute||before/long/full||hrv_time__pNN50_percent||pNN50_percent,candidate,False,moderate_association;passes_minimum_filters
11,ecg_raw_rest_before::before__sit__full__morph_qrs__QRS_duration_ms,22,15,0.6818181818181818,15,9,102.93594938508565,23.07471754167154,76.77543186180424,136.4896566432075,0.3370241989331279,0.21930167532539813,0.3819006088739736,0.16011071677098493,0.3370241989331279,0.3819006088739736,0.0,0.37300645066705984,-0.24487629574608769,0.7853408011239179,0.882,ecg_raw_rest_before,ECG raw,absolute,before/sit/full,morph_qrs__QRS_duration_ms,absolute value,"QRS duration, ms (before, sit, full)",QRS_duration_ms,ecg_raw_rest_before||absolute||before/sit/full||morph_qrs__QRS_duration_ms||QRS_duration_ms,candidate,False,moderate_association;passes_minimum_filters
12,ecg_raw_rest_before::before__long__full__morph_qrs__QRS_area,22,7,0.3181818181818182,7,7,10.394967518021415,2.4944845970717426,8.501457216066962,15.80748282754288,-0.2374649965685952,0.6081363660708098,-0.34235623582431246,0.4522512215909064,0.2374649965685952,0.34235623582431246,0.0,-0.37254901960784315,-0.8823529411764706,0.8847946725860157,0.7675350701402806,ecg_raw_rest_before,ECG raw,absolute,before/long/full,morph_qrs__QRS_area,absolute value,"QRS area (before, long, full)",QRS_area,ecg_raw_rest_before||absolute||before/long/full||morph_qrs__QRS_area||QRS_area,reject,False,low_valid_fraction
13,ecg_raw_rest_before::before__sit__full__morph_qrs__R_width_half_ms,22,15,0.6818181818181818,15,3,32.416293452761785,2.697613700292923,29.857112390701644,38.38771593090212,-0.31277283137798206,0.2563566631551041,-0.3375263702778072,0.21857227331637982,0.31277283137798206,0.3375263702778072,0.0,-0.32448831573643694,-0.7388043194998761,0.23712479264849898,0.872,ecg_raw_rest_before,ECG raw,absolute,before/sit/full,morph_qrs__R_width_half_ms,absolute value,"R half-width, ms (before, sit, full)",R_width_half_ms,ecg_raw_rest_before||absolute||before/sit/full||morph_qrs__R_width_half_ms||R_width_half_ms,reject,False,low_unique_values
