target,target_label,target_direction,target_normalized_as,feature,source_table,feature_family,operation_id,access_mode,n_overlap,n_feature_valid,n_target_valid,n_unique,missing_ratio,spearman_r,abs_spearman,effect_direction,direction_stability,rank_score,status,reason
target__subjective_strain_delta,target__subjective_strain_delta,higher_worse,higher_worse,raw_ecg__before__sit__full__hrv_time__MeanHR_bpm,,,,before,21,22,21,21,0,-0.153246753247,0.153246753247,negative,1,0.407272727273,passed_single_target,
target__subjective_strain_delta,target__subjective_strain_delta,higher_worse,higher_worse,raw_ecg__before__sit__full__hrv_time__MeanNN_ms,,,,before,21,22,21,21,0,0.171428571429,0.171428571429,positive,1,0.42,passed_single_target,
target__subjective_strain_delta,target__subjective_strain_delta,higher_worse,higher_worse,raw_ecg__before__sit__full__hrv_time__SDNN_ms,,,,before,21,22,21,21,0,0.177922077922,0.177922077922,positive,1,0.424545454545,passed_single_target,
target__subjective_strain_delta,target__subjective_strain_delta,higher_worse,higher_worse,raw_ecg__before__sit__full__hrv_time__RMSSD_ms,,,,before,21,22,21,21,0,0.227272727273,0.227272727273,positive,1,0.459090909091,passed_single_target,
target__subjective_strain_delta,target__subjective_strain_delta,higher_worse,higher_worse,raw_ecg__before__sit__full__hrv_time__pNN50_percent,,,,before,21,22,21,20,0,0.084443005428,0.084443005428,positive,0.952380952381,0.344824389514,passed_single_target,
target__subjective_strain_delta,target__subjective_strain_delta,higher_worse,higher_worse,raw_ecg__before__sit__full__hrv_freq__LF_power,,,,before,21,22,21,21,0,0.224675324675,0.224675324675,positive,1,0.457272727273,passed_single_target,
target__subjective_strain_delta,target__subjective_strain_delta,higher_worse,higher_worse,raw_ecg__before__sit__full__hrv_freq__HF_power,,,,before,21,22,21,21,0,0.0350649350649,0.0350649350649,positive,0.809523809524,0.267402597403,passed_single_target,
target__subjective_strain_delta,target__subjective_strain_delta,higher_worse,higher_worse,raw_ecg__before__sit__full__hrv_freq__LF_HF_ratio,,,,before,21,22,21,21,0,0.194805194805,0.194805194805,positive,1,0.436363636364,passed_single_target,
target__subjective_strain_delta,target__subjective_strain_delta,higher_worse,higher_worse,raw_ecg__before__sit__full__morph_qrs__QRS_duration_ms,,,,before,15,15,21,9,0.318181818182,0.460443570455,0.460443570455,positive,1,0.622310499319,passed_single_target,
target__subjective_strain_delta,target__subjective_strain_delta,higher_worse,higher_worse,raw_ecg__before__sit__full__morph_qrs__QRS_area,,,,before,15,15,21,15,0.318181818182,-0.610714285714,0.610714285714,negative,1,0.7275,passed_single_target,
target__subjective_strain_delta,target__subjective_strain_delta,higher_worse,higher_worse,raw_ecg__before__sit__full__morph_qrs__QRS_main_amp,,,,before,15,15,21,15,0.318181818182,-0.389285714286,0.389285714286,negative,1,0.5725,passed_single_target,
target__subjective_strain_delta,target__subjective_strain_delta,higher_worse,higher_worse,raw_ecg__before__sit__full__morph_t__T_amp,,,,before,15,15,21,15,0.318181818182,0.103571428571,0.103571428571,positive,0.866666666667,0.3325,passed_single_target,
target__subjective_strain_delta,target__subjective_strain_delta,higher_worse,higher_worse,raw_ecg__before__sit__full__morph_t__T_area,,,,before,15,15,21,15,0.318181818182,0.2,0.2,positive,1,0.44,passed_single_target,
target__subjective_strain_delta,target__subjective_strain_delta,higher_worse,higher_worse,raw_ecg__before__sit__full__morph_t__RT_interval_ms,,,,before,15,15,21,8,0.318181818182,0.275870995954,0.275870995954,positive,1,0.493109697168,passed_single_target,
target__subjective_strain_delta,target__subjective_strain_delta,higher_worse,higher_worse,raw_ecg__before__sit__full__morph_t__QT_like_ms,,,,before,15,15,21,8,0.318181818182,0.215999777914,0.215999777914,positive,1,0.45119984454,passed_single_target,
target__subjective_strain_delta,target__subjective_strain_delta,higher_worse,higher_worse,raw_ecg__before__stand__full__hrv_time__MeanHR_bpm,,,,before,21,22,21,21,0,0.0701298701299,0.0701298701299,positive,0.952380952381,0.334805194805,passed_single_target,
target__subjective_strain_delta,target__subjective_strain_delta,higher_worse,higher_worse,raw_ecg__before__stand__full__hrv_time__MeanNN_ms,,,,before,21,22,21,21,0,-0.0103896103896,0.0103896103896,negative,0.52380952381,0.164415584416,passed_single_target,
target__subjective_strain_delta,target__subjective_strain_delta,higher_worse,higher_worse,raw_ecg__before__stand__full__hrv_time__SDNN_ms,,,,before,21,22,21,21,0,0.463636363636,0.463636363636,positive,1,0.624545454545,passed_single_target,
target__subjective_strain_delta,target__subjective_strain_delta,higher_worse,higher_worse,raw_ecg__before__stand__full__hrv_time__RMSSD_ms,,,,before,21,22,21,21,0,0.107792207792,0.107792207792,positive,1,0.375454545455,passed_single_target,
target__subjective_strain_delta,target__subjective_strain_delta,higher_worse,higher_worse,raw_ecg__before__stand__full__hrv_time__pNN50_percent,,,,before,21,22,21,20,0,0.0578109806392,0.0578109806392,positive,0.857142857143,0.29761054359,passed_single_target,
target__subjective_strain_delta,target__subjective_strain_delta,higher_worse,higher_worse,raw_ecg__before__stand__full__hrv_freq__LF_power,,,,before,21,22,21,21,0,-0.0571428571429,0.0571428571429,negative,0.857142857143,0.297142857143,passed_single_target,
target__subjective_strain_delta,target__subjective_strain_delta,higher_worse,higher_worse,raw_ecg__before__stand__full__hrv_freq__HF_power,,,,before,21,22,21,21,0,0.145454545455,0.145454545455,positive,1,0.401818181818,passed_single_target,
target__subjective_strain_delta,target__subjective_strain_delta,higher_worse,higher_worse,raw_ecg__before__stand__full__hrv_freq__LF_HF_ratio,,,,before,21,22,21,21,0,-0.12987012987,0.12987012987,negative,1,0.390909090909,passed_single_target,
target__subjective_strain_delta,target__subjective_strain_delta,higher_worse,higher_worse,raw_ecg__before__long__full__hrv_time__MeanHR_bpm,,,,before,20,21,21,20,0.0454545454545,-0.225563909774,0.225563909774,negative,1,0.457894736842,passed_single_target,
target__subjective_strain_delta,target__subjective_strain_delta,higher_worse,higher_worse,raw_ecg__before__long__full__hrv_time__MeanNN_ms,,,,before,20,21,21,20,0.0454545454545,0.187969924812,0.187969924812,positive,1,0.431578947368,passed_single_target,
target__subjective_strain_delta,target__subjective_strain_delta,higher_worse,higher_worse,raw_ecg__before__long__full__hrv_time__SDNN_ms,,,,before,20,21,21,20,0.0454545454545,0.0992481203008,0.0992481203008,positive,0.85,0.324473684211,passed_single_target,
target__subjective_strain_delta,target__subjective_strain_delta,higher_worse,higher_worse,raw_ecg__before__long__full__hrv_time__RMSSD_ms,,,,before,20,21,21,20,0.0454545454545,0.196992481203,0.196992481203,positive,1,0.437894736842,passed_single_target,
target__subjective_strain_delta,target__subjective_strain_delta,higher_worse,higher_worse,raw_ecg__before__long__full__hrv_time__pNN50_percent,,,,before,20,21,21,20,0.0454545454545,0.485714285714,0.485714285714,positive,1,0.64,passed_single_target,
target__subjective_strain_delta,target__subjective_strain_delta,higher_worse,higher_worse,raw_ecg__before__long__full__hrv_freq__LF_power,,,,before,20,21,21,20,0.0454545454545,-0.153383458647,0.153383458647,negative,1,0.407368421053,passed_single_target,
target__subjective_strain_delta,target__subjective_strain_delta,higher_worse,higher_worse,raw_ecg__before__long__full__hrv_freq__HF_power,,,,before,20,21,21,20,0.0454545454545,0.00902255639098,0.00902255639098,positive,0.55,0.171315789474,passed_single_target,
target__subjective_strain_delta,target__subjective_strain_delta,higher_worse,higher_worse,raw_ecg__before__long__full__hrv_freq__LF_HF_ratio,,,,before,20,21,21,20,0.0454545454545,-0.108270676692,0.108270676692,negative,1,0.375789473684,passed_single_target,
target__subjective_strain_delta,target__subjective_strain_delta,higher_worse,higher_worse,raw_ecg__after__sit__full__hrv_time__MeanHR_bpm,,,,after,21,22,21,21,0,-0.0415584415584,0.0415584415584,negative,0.857142857143,0.286233766234,passed_single_target,
target__subjective_strain_delta,target__subjective_strain_delta,higher_worse,higher_worse,raw_ecg__after__sit__full__hrv_time__MeanNN_ms,,,,after,21,22,21,21,0,0.012987012987,0.012987012987,positive,0.52380952381,0.166233766234,passed_single_target,
target__subjective_strain_delta,target__subjective_strain_delta,higher_worse,higher_worse,raw_ecg__after__sit__full__hrv_time__SDNN_ms,,,,after,21,22,21,21,0,-0.18961038961,0.18961038961,negative,1,0.432727272727,passed_single_target,
target__subjective_strain_delta,target__subjective_strain_delta,higher_worse,higher_worse,raw_ecg__after__sit__full__hrv_time__RMSSD_ms,,,,after,21,22,21,21,0,0.149350649351,0.149350649351,positive,1,0.404545454545,passed_single_target,
target__subjective_strain_delta,target__subjective_strain_delta,higher_worse,higher_worse,raw_ecg__after__sit__full__hrv_time__pNN50_percent,,,,after,21,22,21,20,0,0.00909386212301,0.00909386212301,positive,0.65,0.201365703486,passed_single_target,
target__subjective_strain_delta,target__subjective_strain_delta,higher_worse,higher_worse,raw_ecg__after__sit__full__hrv_freq__LF_power,,,,after,21,22,21,21,0,-0.174025974026,0.174025974026,negative,1,0.421818181818,passed_single_target,
target__subjective_strain_delta,target__subjective_strain_delta,higher_worse,higher_worse,raw_ecg__after__sit__full__hrv_freq__HF_power,,,,after,21,22,21,21,0,-0.0207792207792,0.0207792207792,negative,0.809523809524,0.257402597403,passed_single_target,
