target,target_label,target_direction,target_normalized_as,feature,source_table,feature_family,operation_id,access_mode,n_overlap,n_feature_valid,n_target_valid,n_unique,missing_ratio,spearman_r,abs_spearman,effect_direction,direction_stability,rank_score,status,reason
target__subjective_strain_delta,target__subjective_strain_delta,higher_worse,higher_worse,raw_ecg__before__sit__full__hrv_time__MeanHR_bpm,,,,before,21,22,21,21,0,-0.153246753247,0.153246753247,negative,1,0.407272727273,rejected_weak_association,abs_spearman=0.153 < 0.3
target__subjective_strain_delta,target__subjective_strain_delta,higher_worse,higher_worse,raw_ecg__before__sit__full__hrv_time__MeanNN_ms,,,,before,21,22,21,21,0,0.171428571429,0.171428571429,positive,1,0.42,rejected_weak_association,abs_spearman=0.171 < 0.3
target__subjective_strain_delta,target__subjective_strain_delta,higher_worse,higher_worse,raw_ecg__before__sit__full__hrv_time__SDNN_ms,,,,before,21,22,21,21,0,0.177922077922,0.177922077922,positive,1,0.424545454545,rejected_weak_association,abs_spearman=0.178 < 0.3
target__subjective_strain_delta,target__subjective_strain_delta,higher_worse,higher_worse,raw_ecg__before__sit__full__hrv_time__RMSSD_ms,,,,before,21,22,21,21,0,0.227272727273,0.227272727273,positive,1,0.459090909091,rejected_weak_association,abs_spearman=0.227 < 0.3
target__subjective_strain_delta,target__subjective_strain_delta,higher_worse,higher_worse,raw_ecg__before__sit__full__hrv_time__pNN50_percent,,,,before,21,22,21,20,0,0.084443005428,0.084443005428,positive,0.952380952381,0.344824389514,rejected_weak_association,abs_spearman=0.0844 < 0.3
target__subjective_strain_delta,target__subjective_strain_delta,higher_worse,higher_worse,raw_ecg__before__sit__full__hrv_freq__LF_power,,,,before,21,22,21,21,0,0.224675324675,0.224675324675,positive,1,0.457272727273,rejected_weak_association,abs_spearman=0.225 < 0.3
target__subjective_strain_delta,target__subjective_strain_delta,higher_worse,higher_worse,raw_ecg__before__sit__full__hrv_freq__HF_power,,,,before,21,22,21,21,0,0.0350649350649,0.0350649350649,positive,0.809523809524,0.267402597403,rejected_weak_association,abs_spearman=0.0351 < 0.3
target__subjective_strain_delta,target__subjective_strain_delta,higher_worse,higher_worse,raw_ecg__before__sit__full__hrv_freq__LF_HF_ratio,,,,before,21,22,21,21,0,0.194805194805,0.194805194805,positive,1,0.436363636364,rejected_weak_association,abs_spearman=0.195 < 0.3
target__subjective_strain_delta,target__subjective_strain_delta,higher_worse,higher_worse,raw_ecg__before__sit__full__morph_qrs__R_width_half_ms,,,,before,15,,,3,0.318181818182,,,,,,rejected_low_variability,n_unique=3 < 4
target__subjective_strain_delta,target__subjective_strain_delta,higher_worse,higher_worse,raw_ecg__before__sit__full__morph_t__T_amp,,,,before,15,15,21,15,0.318181818182,0.103571428571,0.103571428571,positive,0.866666666667,0.3325,rejected_weak_association,abs_spearman=0.104 < 0.3
target__subjective_strain_delta,target__subjective_strain_delta,higher_worse,higher_worse,raw_ecg__before__sit__full__morph_t__T_area,,,,before,15,15,21,15,0.318181818182,0.2,0.2,positive,1,0.44,rejected_weak_association,abs_spearman=0.2 < 0.3
target__subjective_strain_delta,target__subjective_strain_delta,higher_worse,higher_worse,raw_ecg__before__sit__full__morph_t__RT_interval_ms,,,,before,15,15,21,8,0.318181818182,0.275870995954,0.275870995954,positive,1,0.493109697168,rejected_weak_association,abs_spearman=0.276 < 0.3
target__subjective_strain_delta,target__subjective_strain_delta,higher_worse,higher_worse,raw_ecg__before__sit__full__morph_t__QT_like_ms,,,,before,15,15,21,8,0.318181818182,0.215999777914,0.215999777914,positive,1,0.45119984454,rejected_weak_association,abs_spearman=0.216 < 0.3
target__subjective_strain_delta,target__subjective_strain_delta,higher_worse,higher_worse,raw_ecg__before__stand__full__hrv_time__MeanHR_bpm,,,,before,21,22,21,21,0,0.0701298701299,0.0701298701299,positive,0.952380952381,0.334805194805,rejected_weak_association,abs_spearman=0.0701 < 0.3
target__subjective_strain_delta,target__subjective_strain_delta,higher_worse,higher_worse,raw_ecg__before__stand__full__hrv_time__MeanNN_ms,,,,before,21,22,21,21,0,-0.0103896103896,0.0103896103896,negative,0.52380952381,0.164415584416,rejected_weak_association,abs_spearman=0.0104 < 0.3
target__subjective_strain_delta,target__subjective_strain_delta,higher_worse,higher_worse,raw_ecg__before__stand__full__hrv_time__RMSSD_ms,,,,before,21,22,21,21,0,0.107792207792,0.107792207792,positive,1,0.375454545455,rejected_weak_association,abs_spearman=0.108 < 0.3
target__subjective_strain_delta,target__subjective_strain_delta,higher_worse,higher_worse,raw_ecg__before__stand__full__hrv_time__pNN50_percent,,,,before,21,22,21,20,0,0.0578109806392,0.0578109806392,positive,0.857142857143,0.29761054359,rejected_weak_association,abs_spearman=0.0578 < 0.3
target__subjective_strain_delta,target__subjective_strain_delta,higher_worse,higher_worse,raw_ecg__before__stand__full__hrv_freq__LF_power,,,,before,21,22,21,21,0,-0.0571428571429,0.0571428571429,negative,0.857142857143,0.297142857143,rejected_weak_association,abs_spearman=0.0571 < 0.3
target__subjective_strain_delta,target__subjective_strain_delta,higher_worse,higher_worse,raw_ecg__before__stand__full__hrv_freq__HF_power,,,,before,21,22,21,21,0,0.145454545455,0.145454545455,positive,1,0.401818181818,rejected_weak_association,abs_spearman=0.145 < 0.3
target__subjective_strain_delta,target__subjective_strain_delta,higher_worse,higher_worse,raw_ecg__before__stand__full__hrv_freq__LF_HF_ratio,,,,before,21,22,21,21,0,-0.12987012987,0.12987012987,negative,1,0.390909090909,rejected_weak_association,abs_spearman=0.13 < 0.3
target__subjective_strain_delta,target__subjective_strain_delta,higher_worse,higher_worse,raw_ecg__before__stand__full__morph_qrs__QRS_duration_ms,,,,before,6,,,4,0.727272727273,,,,,,rejected_low_overlap,n_overlap=6 < 10
target__subjective_strain_delta,target__subjective_strain_delta,higher_worse,higher_worse,raw_ecg__before__stand__full__morph_qrs__QRS_area,,,,before,6,,,6,0.727272727273,,,,,,rejected_low_overlap,n_overlap=6 < 10
target__subjective_strain_delta,target__subjective_strain_delta,higher_worse,higher_worse,raw_ecg__before__stand__full__morph_qrs__QRS_main_amp,,,,before,6,,,6,0.727272727273,,,,,,rejected_low_overlap,n_overlap=6 < 10
target__subjective_strain_delta,target__subjective_strain_delta,higher_worse,higher_worse,raw_ecg__before__stand__full__morph_qrs__R_width_half_ms,,,,before,6,,,3,0.727272727273,,,,,,rejected_low_overlap,n_overlap=6 < 10
target__subjective_strain_delta,target__subjective_strain_delta,higher_worse,higher_worse,raw_ecg__before__stand__full__morph_t__T_amp,,,,before,5,,,5,0.772727272727,,,,,,rejected_low_overlap,n_overlap=5 < 10
target__subjective_strain_delta,target__subjective_strain_delta,higher_worse,higher_worse,raw_ecg__before__stand__full__morph_t__T_area,,,,before,5,,,5,0.772727272727,,,,,,rejected_low_overlap,n_overlap=5 < 10
target__subjective_strain_delta,target__subjective_strain_delta,higher_worse,higher_worse,raw_ecg__before__stand__full__morph_t__RT_interval_ms,,,,before,5,,,4,0.772727272727,,,,,,rejected_low_overlap,n_overlap=5 < 10
target__subjective_strain_delta,target__subjective_strain_delta,higher_worse,higher_worse,raw_ecg__before__stand__full__morph_t__QT_like_ms,,,,before,5,,,5,0.772727272727,,,,,,rejected_low_overlap,n_overlap=5 < 10
target__subjective_strain_delta,target__subjective_strain_delta,higher_worse,higher_worse,raw_ecg__before__long__full__hrv_time__MeanHR_bpm,,,,before,20,21,21,20,0.0454545454545,-0.225563909774,0.225563909774,negative,1,0.457894736842,rejected_weak_association,abs_spearman=0.226 < 0.3
target__subjective_strain_delta,target__subjective_strain_delta,higher_worse,higher_worse,raw_ecg__before__long__full__hrv_time__MeanNN_ms,,,,before,20,21,21,20,0.0454545454545,0.187969924812,0.187969924812,positive,1,0.431578947368,rejected_weak_association,abs_spearman=0.188 < 0.3
target__subjective_strain_delta,target__subjective_strain_delta,higher_worse,higher_worse,raw_ecg__before__long__full__hrv_time__SDNN_ms,,,,before,20,21,21,20,0.0454545454545,0.0992481203008,0.0992481203008,positive,0.85,0.324473684211,rejected_weak_association,abs_spearman=0.0992 < 0.3
target__subjective_strain_delta,target__subjective_strain_delta,higher_worse,higher_worse,raw_ecg__before__long__full__hrv_time__RMSSD_ms,,,,before,20,21,21,20,0.0454545454545,0.196992481203,0.196992481203,positive,1,0.437894736842,rejected_weak_association,abs_spearman=0.197 < 0.3
target__subjective_strain_delta,target__subjective_strain_delta,higher_worse,higher_worse,raw_ecg__before__long__full__hrv_freq__LF_power,,,,before,20,21,21,20,0.0454545454545,-0.153383458647,0.153383458647,negative,1,0.407368421053,rejected_weak_association,abs_spearman=0.153 < 0.3
target__subjective_strain_delta,target__subjective_strain_delta,higher_worse,higher_worse,raw_ecg__before__long__full__hrv_freq__HF_power,,,,before,20,21,21,20,0.0454545454545,0.00902255639098,0.00902255639098,positive,0.55,0.171315789474,rejected_weak_association,abs_spearman=0.00902 < 0.3
