date,target__subjective_strain_delta__original,target__fatigue_delta__original,target__reaction_time_delta__original,target__subjective_strain_delta__normalized,target__fatigue_delta__normalized,target__reaction_time_delta__normalized
2026-04-01,0.888888888889,2,14,0.888888888889,2,14
2026-04-02,2.625,4,1,2.625,4,1
2026-04-03,-1.78787878788,-3,-12,-1.78787878788,-3,-12
2026-04-04,-0.666666666667,-1,17,-0.666666666667,-1,17
2026-04-05,0.111111111111,1,1,0.111111111111,1,1
2026-04-06,0.252525252525,0,-2,0.252525252525,0,-2
2026-04-07,2.32323232323,5,3,2.32323232323,5,3
2026-04-08,0.181818181818,1,-2,0.181818181818,1,-2
2026-04-09,1,3,4,1,3,4
2026-04-10,1.09090909091,0,5,1.09090909091,0,5
2026-04-11,0,2,5,0,2,5
2026-04-12,1.72727272727,3,17,1.72727272727,3,17
2026-04-13,0.363636363636,0,-7,0.363636363636,0,-7
2026-04-14,-0.427272727273,0,-4,-0.427272727273,0,-4
2026-04-15,-0.272727272727,-1,-7,-0.272727272727,-1,-7
2026-04-16,0.727272727273,2,2,0.727272727273,2,2
2026-04-17,-0.181818181818,0,-4,-0.181818181818,0,-4
2026-04-18,,,,,,
2026-04-19,-0.563636363636,-1,0,-0.563636363636,-1,0
2026-04-20,0.909090909091,1,-7,0.909090909091,1,-7
2026-04-21,-0.272727272727,0,7,-0.272727272727,0,7
2026-04-22,1.27272727273,2,8,1.27272727273,2,8
